chr22	10510092	1
chr22	10510213	1
chr22	10510282	1
chr22	10510638	1
chr22	10510822	1
chr22	10510824	1
chr22	10510828	1
chr22	10510856	1
chr22	10511026	1
chr22	10511283	1
chr22	10511285	1
chr22	10511295	2
chr22	10511315	1
chr22	10511473	1
chr22	10511693	1
chr22	10511713	1
chr22	10511769	1
chr22	10511963	1
chr22	10511997	1
chr22	10512178	1
chr22	10512411	1
chr22	10512444	1
chr22	10512449	1
chr22	10512452	1
chr22	10512534	1
chr22	10512542	1
chr22	10512547	1
chr22	10512559	1
chr22	10512580	1
chr22	10512669	1
chr22	10512790	1
chr22	10512800	1
chr22	10512845	1
chr22	10512876	1
chr22	10512953	1
chr22	10512981	1
chr22	10512988	1
chr22	10513097	1
chr22	10513099	1
chr22	10513109	1
chr22	10513129	1
chr22	10513145	1
chr22	10513146	1
chr22	10513180	1
chr22	10513242	1
chr22	10513461	1
chr22	10513536	1
chr22	10513587	1
chr22	10513735	1
chr22	10513983	1
chr22	10514159	1
chr22	10514431	1
chr22	10514462	1
chr22	10514508	1
chr22	10514546	1
chr22	10514547	1
chr22	10514655	1
chr22	10514713	1
chr22	10514722	1
chr22	10514925	1
chr22	10514928	1
chr22	10515121	1
chr22	10515235	1
chr22	10515236	1
chr22	10515265	1
chr22	10515275	1
chr22	10515442	1
chr22	10515519	1
chr22	10515597	1
chr22	10515600	1
chr22	10515638	1
chr22	10515670	1
chr22	10515759	1
chr22	10515793	1
chr22	10515864	1
chr22	10515865	1
chr22	10515893	1
chr22	10515936	1
chr22	10515947	1
chr22	10516426	1
chr22	10516478	1
chr22	10516479	1
chr22	10516516	1
chr22	10516529	2
chr22	10516538	1
chr22	10516556	1
chr22	10516576	1
chr22	10516682	1
chr22	10516754	1
chr22	10516877	1
chr22	10516910	1
chr22	10516921	1
chr22	10516924	1
chr22	10516927	1
chr22	10516930	1
chr22	10517006	1
chr22	10517028	1
chr22	10517042	1
chr22	10517191	1
chr22	10517209	1
