0	28624
1	4260
2	3789
3	3590
4	3453
5	3492
6	3511
7	3226
8	3441
9	3405
10	3246
11	3130
12	3070
13	2886
14	2878
15	2852
16	2799
17	2726
18	2736
19	2706
20	2652
21	2637
22	2639
23	2570
24	2584
25	2589
26	2515
27	2419
28	2643
29	2588
30	2536
31	2551
32	2659
33	2510
34	2488
35	2537
36	2595
37	2579
38	2467
39	2525
40	2488
41	2476
42	2562
43	2484
44	2470
45	2500
46	2396
47	2397
48	2469
49	2431
50	2435
51	2493
52	2545
53	2389
54	2356
55	2380
56	2437
57	2336
58	2472
59	2488
60	2436
61	2627
62	2501
63	2438
64	2491
65	2467
66	2365
67	2376
68	2412
69	2406
70	2526
71	2491
72	2363
73	2372
74	2327
75	2231
76	2271
77	2303
78	2464
79	2313
80	2294
81	2314
82	2298
83	2316
84	2278
85	2266
86	2261
87	2155
88	2194
89	2203
90	2249
91	2216
92	2277
93	2135
94	2244
95	2139
96	2202
97	2149
98	2106
99	2209
100	2205
101	2201
102	2192
103	2254
104	2212
105	2119
106	2057
107	2176
108	2166
109	2232
110	2252
111	2221
112	2212
113	2214
114	2218
115	2176
116	2284
117	2264
118	2286
119	2255
120	2303
121	2221
122	2306
123	2242
124	2192
125	2262
126	2294
127	2283
128	2351
129	2246
130	2197
131	2148
132	2220
133	2160
134	2124
135	2120
136	2048
137	2060
138	2085
139	2165
140	2196
141	2143
142	2053
143	2118
144	2104
145	2093
146	2016
147	2080
148	2105
149	2153
150	2064
151	2165
152	2068
153	2118
154	2268
155	2251
156	2207
157	2172
158	2184
159	2204
160	2348
161	2298
162	2192
163	2233
164	2272
165	2138
166	2229
167	2168
168	2319
169	2378
170	2205
171	2253
172	2272
173	2284
174	2244
175	2326
176	2341
177	2285
178	2333
179	2230
180	2298
181	2354
182	2302
183	2293
184	2155
185	2267
186	2303
187	2404
188	2329
189	2270
190	2403
191	2351
192	2412
193	2364
194	2303
195	2295
196	2364
197	2335
198	2307
199	2258
200	2214
201	2293
202	2292
203	2277
204	2211
205	2188
206	2246
207	2242
208	2215
209	2218
210	2163
211	2278
212	2169
213	2181
214	2275
215	2191
216	2102
217	2251
218	2117
219	2172
220	2145
221	2213
222	2177
223	2099
224	2074
225	2127
226	2090
227	2268
228	2072
229	2174
230	2109
231	2072
232	2133
233	2130
234	2214
235	2157
236	2184
237	2123
238	2085
239	2090
240	2088
241	2182
242	2259
243	2186
244	2179
245	2149
246	2188
247	2226
248	2150
249	2246
250	2118
251	2249
252	2183
253	2104
254	2078
255	2101
256	2124
257	2228
258	2159
259	2127
260	2170
261	2250
262	2180
263	2078
264	2171
265	2087
266	2136
267	2067
268	2077
269	2148
270	2109
271	2062
272	2117
273	2142
274	2113
275	2025
276	2097
277	2188
278	2063
279	2094
280	2060
281	2134
282	2130
283	2141
284	2079
285	2092
286	2103
287	2088
288	2148
289	1938
290	2087
291	2015
292	2212
293	2045
294	2118
295	2173
296	2186
297	2064
298	2063
299	2032
300	2091
301	2129
302	2056
303	2104
304	2071
305	2162
306	2156
307	2240
308	2134
309	2203
310	2219
311	2089
312	2121
313	2114
314	2200
315	2138
316	2156
317	2115
318	2073
319	2165
320	2226
321	2067
322	2179
323	2169
324	2218
325	2148
326	2094
327	2098
328	2165
329	2155
330	2016
331	2116
332	2101
333	2047
334	2091
335	2054
336	2082
337	2147
338	2118
339	2067
340	2054
341	2109
342	2172
343	2198
344	2190
345	1982
346	2128
347	2075
348	2110
349	2254
350	2147
351	2050
352	2212
353	2269
354	2152
355	2154
356	2087
357	2197
358	2110
359	2132
360	2111
361	2145
362	2114
363	2084
364	2128
365	2160
366	2154
367	2078
368	2212
369	2129
370	2227
371	2177
372	2111
373	2182
374	2101
375	2211
376	2186
